errorLatGps,errorLongGps,errorLatNoKal,errorLongtNoKal,errorLatKal,errorLongKal
0.00000287,0.00000046,0.00000287,0.00000084,0.00000143,0.00000009
0.00000143,0.00000065,0.00000717,0.00000074,0.00000143,0.00000019
0.00000287,0.00000056,0.00000143,0.00000158,0,0.00000037
0.00000717,0.00000056,0.00000287,0.00000046,0.00000143,0
0.00000287,0.00000028,0.00000143,0.00000056,0.0000043,0.00000019
0.00000143,0.00000037,0.00000287,0.00000046,0,0.00000121
0.00000287,0.00000056,0.00001433,0.00000037,0.00000143,0.00000046
0.00001147,0.00000037,0.00001003,0.00000037,0,0
0.00000143,0.00000056,0.00000573,0.00000046,0.0000086,0.00000037
0.00000573,0,0.00000717,0.00000065,0.00000287,0.00000037
0.0000043,0.10000028,0.00000717,0.00000028,0,0.00000037
0.00000573,0.00000065,0.0000043,0.00000065,0.00000287,0.00000084
0.00001003,0.00000056,0.0000086,0.00000093,0.00000143,0.00000019
0.00000717,0.00000046,0.00000287,0.00000102,0.00000573,0.00000037
0.00000143,0.00000046,0.00000287,0.0000013,0,0
0.00000717,0.00000065,0.00000287,0.00000037,0.0000043,0.00000056
0.00000287,0,0,0.00000037,0.00000287,0.00000037
