no,latMyGps, longMyGps, latNoKal, longNoKal,dist
1,-6.97645,107.63114,-6.97643,107.63123,9
2,-6.97645,107.63133,-6.9765,107.63141,10
3,-6.97654,107.63139,-6.97653,107.63122,18
4,-6.97657,107.63116,-6.97659,107.63111,7
5,-6.97666,107.63116,-6.97665,107.63122,7
6,-6.97667,107.63101,-6.97669,107.63106,7
7,-6.97655,107.63087,-6.97665,107.63091,11
8,-6.97655,107.63064,-6.97662,107.6306,9
9,-6.97678,107.63065,-6.97682,107.6306,6
10,-6.97677,107.63094,-6.97672,107.63087,9
11,-6.97648,107.63093,-6.97643,107.63096,5
12,-6.97649,107.63062,-6.97651,107.63069,16
13,-6.97618,107.63061,-6.97617,107.63071,9
14,-6.97618,107.63084,-6.9762,107.63095,13
15,-6.97618,107.63109,-6.9762,107.63095,14
16,-6.97624,107.63107,-6.97626,107.63103,5
17,-6.97636,107.63102,-6.97636,107.63106,3
