noNode,payload,visit,rssi
2,node0,1,-82
3,node0,1,-85
1,node0,1,-85
8,node0,2,-96
6,node0,2,-92
3,node0,2,-93
3,node0,3,-89
3,node0,3,-92
3,node0,3,-85
4,node0,3,-78
2,node0,4,-79
3,node0,4,-94
4,node0,4,-77
2,node0,4,-88
2,node0,5,-97
3,node0,5,-85
7,node0,5,-91
3,node0,6,-83
6,node0,6,-80
3,node0,6,-84
3,node0,6,-79
3,node0,6,-84
3,node0,7,-81
8,node0,7,-96
3,node0,7,-77
2,node0,7,-85
2,node0,7,-93
1,node0,8,-88
3,node0,8,-72
3,node0,8,-79
7,node0,8,-116
4,node0,8,-92
3,node0,8,-69
4,node0,9,-101
1,node0,10,-103
6,node0,10,-83
3,node0,10,-82
6,node0,10,-90
6,node0,10,-91
3,node0,10,-78
2,node0,11,-93
7,node0,11,-113
3,node0,11,-78
2,node0,11,-91
1,node0,11,-90
3,node0,11,-78
2,node0,11,-85
6,node0,11,-92
2,node0,12,-115
6,node0,12,-85
3,node0,12,-88
2,node0,12,-99
6,node0,12,-104
8,node0,12,-106
3,node0,12,-96
2,node0,13,-107
2,node0,13,-109
4,node0,13,-97
7,node0,13,-109
3,node0,13,-111
3,node0,13,-103
4,node0,13,-95
3,node0,14,-100
3,node0,14,-95
2,node0,14,-111
6,node0,14,-93
6,node0,14,-81
4,node0,14,-94
2,node0,14,-111
4,node0,14,-101
3,node0,15,-103
4,node0,15,-98
3,node0,15,-90
2,node0,15,-101
3,node0,15,-89
7,node0,15,-113
2,node0,15,-106
1,node0,15,-102
4,node0,16,-85
6,node0,16,-78
4,node0,16,-86
6,node0,16,-80
4,node0,16,-85
3,node0,16,-89
2,node0,16,-111
4,node0,16,-80
3,node0,17,-92
7,node0,17,-100
1,node0,17,-105
4,node0,17,-84
1,node0,17,-101
2,node0,17,-105
2,node0,17,-107
3,node0,17,-95
6,node0,17,-78
7,node0,17,-95
2,node0,17,-102
4,node0,17,-76
7,node0,17,-92
2,node0,18,-103
4,node0,18,-75
2,node0,18,-102
2,node0,18,-109
2,node0,18,-100
8,node0,18,-88
8,node0,18,-90
4,node0,18,-73
8,node0,18,-93
7,node0,19,-86
4,node0,19,-76
4,node0,19,-80
2,node0,19,-106
8,node0,19,-100
7,node0,19,-95
7,node0,19,-97
7,node0,19,-95
4,node0,20,-82
7,node0,20,-84
4,node0,20,-81
8,node0,20,-84
4,node0,20,-75
7,node0,20,-89
